Product category;Product name;FRESH n° ciqual;FRESH water content;DRIED n° ciqual;DRIED water content;Kg of fresh fruit for 1kg dried fruit
Potato;Flocon pomme de terre;4002.0;0.754;4022.0;0.0509;3.8581300813008133
Eggs;Blanc d'œuf;22001.0;0.876;22004.0;0.058;7.596774193548387
Eggs;Jaune d'œuf;22002.0;0.55;22003.0;0.0287;2.1584444444444446
Eggs;Œuf;22000.0;0.763;22013.0;0.0339;4.076371308016878
Algae;Algae (laminaria);;;;;
Fruit;Pomme;13039.0;0.854;13111.0;0.318;4.6712328767123275
Fruit;Abricot;13000.0;0.871;13001.0;0.247;5.837209302325581
Fruit;Banane;13005.0;0.758;13089.0;0.03;4.008264462809917
Herbs;Basilic;11033.0;0.917;11032.0;0.104;10.79518072289157
Fruit;Dattes;;;;;
Fruit;Figues;13012.0;0.802;13013.0;0.301;3.5303030303030316
Herbs;Marjolaine;11080.0;0.842;11034.0;0.0764;5.845569620253164
Herbs;Meloukhia (Feuille de jute/corète);11080.0;0.842;51500.0;0.084;5.797468354430379
Fruit;Oignon;20034.0;0.896;20180.0;0.0393;9.237500000000002
Herbs;Origan;11080.0;0.842;11035.0;0.0993;5.700632911392405
Herbs;Persil;11014.0;0.855;11024.0;0.0395;6.624137931034482
Fruit;Pêche;13043.0;0.886;13118.0;0.075;8.1140350877193
Herbs;Herbes de provence;11080.0;0.842;11060.0;0.071;5.879746835443037
Fruit;Prune;13100.0;0.87;13042.0;0.349;5.007692307692308
Fruit;Raisin;13112.0;0.805;13046.0;0.16;4.307692307692308
Herbs;Romarin;11068.0;0.678;11036.0;0.0931;2.816459627329193
Herbs;Sauge;11069.0;0.856;11037.0;0.0796;6.391666666666666
Herbs;Sarriette;11080.0;0.842;11062.0;0.09;5.759493670886075
Herbs;Thé;;;;;
Herbs;Thym;11070.0;0.651;11038.0;0.0779;2.642120343839542
Fruit;Tomate;20047.0;0.941;20189.0;0.146;14.474576271186427
Herbs;Menthe;;0.821;;0.113;4.955307262569831
